id,db_created_time,session_created_time,user_id,session_type
189,2024-05-07 13:14:44.1086+00,1715087681533,user_2g6owFZEWj02UuYkys7FSBVNWbM,started
190,2024-05-07 13:31:43.036841+00,1715087681533,user_2g6owFZEWj02UuYkys7FSBVNWbM,ended
191,2024-05-07 14:54:17.159701+00,1715093655453,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,started
192,2024-05-07 14:56:12.997019+00,1715093772249,user_2g0XWvlLvSUT1xsW1jkbkp4orYi,started
193,2024-05-07 15:11:31.893929+00,1715093655453,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,ended
194,2024-05-07 15:13:04.76328+00,1715094782796,user_2g913nycxJXlAJuYDnFRhzEJ23d,started
195,2024-05-07 15:20:47.910512+00,1715095246619,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,started
196,2024-05-07 15:24:52.669304+00,1715095491942,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,started
197,2024-05-07 15:25:21.714514+00,1715095519698,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,started
198,2024-05-07 15:56:50.713246+00,1715097408430,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,started
199,2024-05-07 16:18:54.9463+00,1715098732640,user_2g6owFZEWj02UuYkys7FSBVNWbM,started
200,2024-05-07 17:18:44.909145+00,1715098732640,user_2g6owFZEWj02UuYkys7FSBVNWbM,ended
201,2024-05-07 17:19:01.06703+00,1715102339066,user_2g6owFZEWj02UuYkys7FSBVNWbM,started
202,2024-05-07 20:21:07.976025+00,1715024666889,user_2g0rf4MAyMDvUQSGjelanxWm1ba,ended
203,2024-05-07 20:21:15.087381+00,1715113274074,user_2g0rf4MAyMDvUQSGjelanxWm1ba,started
204,2024-05-07 20:30:56.390748+00,1715113853637,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,started
205,2024-05-07 20:35:49.201059+00,1715113274074,user_2g0rf4MAyMDvUQSGjelanxWm1ba,ended
206,2024-05-07 20:35:56.608607+00,1715114155918,user_2g0rf4MAyMDvUQSGjelanxWm1ba,started
207,2024-05-07 20:40:31.594868+00,1715114155918,user_2g0rf4MAyMDvUQSGjelanxWm1ba,ended
208,2024-05-07 20:40:40.565649+00,1715114439008,user_2g0rf4MAyMDvUQSGjelanxWm1ba,started
